# Blind pooled labeling export (spec §Calibration Plan). Fill in `verdict` with exactly one of:										
#   bug - genuine analyzer/segmentation bug, not explained by policy or dictionary										
#   expected-policy - disagreement follows from an intentional, documented segmentation/feature policy										
#   expected-dictionary - disagreement traces to differing dictionary entries (known, acceptable)										
#   corpus-artifact - disagreement traces to OCR/encoding/corpus noise, not the analyzers										
#   noise - disagreement is uninformative (e.g. tie-breaking on a trivial span)										
#   unclear - insufficient evidence in the snippet to decide										
# `notes` is free text.										
label_id	kind	pattern	examples	source_count	text_count	snippet_1	snippet_2	snippet_3	verdict	notes
L012	feature	pos3 whole_region =>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512 ; 一般=>vibrato:unidic-novel-202512	128669	12401	12174	…気まぐれな空ら合い。あわあわしい白ら雲が【空ら】一面に棚引くかと思うと、フトまたあちこち…	…うようなさざめきでもなく、夏のゆるやかな【そよぎ】でもなく、永たらしい話し声でもなく、また…	…樺の林へ来るまえに、自分は猟犬を曳いて、【さる】高く茂ッた白楊の林を過ぎたが、この樹は―…	noise	
L013	feature	pos1 surface:送り込み 動詞=>vibrato:unidic-cwj-202512 ; 名詞=>sudachi-a+sudachi-c+vibrato:unidic-novel-202512	1	1	1	…同心詰め所の奥座敷です。␣　ご牢屋日誌、【送り込み】帳、ご吟味記録。␣　ずらりと並べて積みあ…			expected-dictionary	
L014	feature	pos2 whole_region 固有名詞=>vibrato:unidic-novel-202512 ; 普通名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	73099	8002	7847	…ぐりぶかい鴉の群れが、すっかり葉の落ちた【白樺】の高い高いてっぺんに止って、思い出したよ…	…すぞと、他人に見せつけたがっている人間に【通有】の、控え目な磊落の仮面などでは、とても匿…	…な大きなキツツキが現われて、ほっそりした【白樺】の幹をせかせかと登り始めたので、すっかり…	expected-dictionary	
L015	feature	pos1 surface:で 助動詞=>vibrato:unidic-novel-202512 ; 助詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	220356	13703	13477	…する、おもしろそうな、笑うようなさざめき【で】もなく、夏のゆるやかなそよぎでもなく、永…	…るやかなそよぎでもなく、永たらしい話し声【で】もなく、また末の秋のおどおどした、うそさ…	…ふしに人をさみした白頭翁の声のみが、故鈴【で】も鳴らすごとくに、響きわたッた。この樺の…	expected-policy	
L016	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[踏入|られ] ; vibrato:unidic-novel-202512:[踏入ら|れ]	1	1	1	…更の感に大粒の涙ハラハラと、␣「雑兵共に【踏入られ】ては、御かばねの上の御恥も厭わしと、冠リ…			expected-policy	
L017	segmentation	vibrato:unidic-novel-202512:[蹈|心地] ; sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[蹈心|地]	2	1	1	…来ますと、一歩上へ浮いてつく、その、その【蹈心地】。足が、障子の合せ目に揃えて脱いだ上草履…	…だ上草履にかかった……当ったのです。その【蹈心地】。ほんのりと人肌のぬくみがある。申すも憚…		expected-dictionary	
L018	feature	pos1 surface:浸 動詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 名詞=>sudachi-a+sudachi-c	51	38	37	…た白黒まだらの狗の、前脚を立てた姿が、雨【浸】に浮び出でて朦朧とお札の中に顕れて活るが…	…　と云った主税の声が、夫人の肩から総身へ【浸】渡るようであった。␣「貞造は、貴女の実の…	…　向うから襖一枚、颯と蒼く色が変ると、雨【浸】の鬼の絵の輪郭を、乱れたままの輪に残して…	bug	雨浸 is one token
L019	segmentation	sudachi-a:[引き|合う|まい] ; vibrato:unidic-cwj-202512:[引き合|うまい] ; sudachi-c+vibrato:unidic-novel-202512:[引き合う|まい]	1	1	1	…への寄付能力の貧弱なものを採用したのでは【引き合うまい】。この方針を徹底すれば、入学金の納入高の…			expected-policy	vibrato:unidic-cwj-202512:[引き合|うまい] is wrong, rest are expected-policy differences
L020	feature	pos3 surface:松原 一般=>vibrato:unidic-novel-202512 ; 人名=>sudachi-a+sudachi-c ; 地名=>vibrato:unidic-cwj-202512	21	15	14	…告を見られたものと思われますが……それを【松原】総長が、葬式の済んだ後で捉まえまして、そ…	…純昌である。␣　詩。「大村駅舎逢鏑雲潭。【松原】連古駅。残日照汀洲。忽値同郷客。却添思国…	…けれどこゝに泊る、松原の一軒家だ、屋号も【松原】屋、まだ電燈もついてゐない、しかし何とな…	expected-dictionary	人名=>sudachi-a+sudachi-c is correct
L021	feature	pos1 surface:で 助動詞=>sudachi-a+sudachi-c ; 助詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	70741	9890	9691	…していた。旁々の手を見れば、半はむきだし【で】、その上に載せた草花の束ねが呼吸をするた…	…の男のかおつきはまったくその一ツで、桃色【で】、清らかで、そしてきわめて傲慢そうで。己…	…ーエヴィチというのは、まるまると肥った男【で】、ぽってりした金髪・色白の顔をしていたが…	expected-policy	
L022	feature	pos1 surface:chierampeutek 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512 ; 感動詞=>vibrato:unidic-novel-202512	3	1	1	…kushu  nepneushi ka␣【chierampeutek】  wenrai  chiki shir…	…akun,  nepneushi ka␣【chierampeutek】  toi rai  wen rai  …	…a,  okayash humi ka␣【chierampeutek】  turushkinrane  unk…	corpus-artifact	
L023	feature	pos3 whole_region =>vibrato:unidic-novel-202512 ; 一般=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	346753	14145	13900	…して耳を傾けていた。木の葉が頭上で幽かに【戦い】だが、その音を聞たばかりでも季節は知られ…	…面ざし、まことに柔和でしとやかで、とり繕【ろ】ッた気色は微塵もなく、さも憂わしそうで、…	…またあどけなく途方に暮れた趣きもあッた。【たれ】をか待合わせているのとみえて、何か幽かに…	noise	
L024	feature	pos2 whole_region 一般=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512 ; 普通名詞=>vibrato:unidic-novel-202512	68756	10462	10264	…気まぐれな空ら合い。あわあわしい白ら雲が【空ら】一面に棚引くかと思うと、フトまたあちこち…	…うようなさざめきでもなく、夏のゆるやかな【そよぎ】でもなく、永たらしい話し声でもなく、また…	…。総じて首つきが愛らしく、鼻がすこし大く【円】すぎたが、それすらさのみ眼障りにはならな…	noise	
L025	feature	pos2 surface:たた =>vibrato:unidic-cwj-202512 ; 一般=>vibrato:unidic-novel-202512	1	1	1	…物でもなかった。␣（山重なって森深く、岩【たた】なわって谷をなし、天龍の川の流るる所、古…			unclear	
L026	feature	pos1 whole_region 助動詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 助詞=>sudachi-a+sudachi-c	124161	12147	11929	…るが、この男のかおつきはまったくその一ツ【で】、桃色で、清らかで、そしてきわめて傲慢そ…	…いたのだが――ただし父の面前でやったわけ【で】はない。母はひどく父をこわがっていたし、…	…老夫人に向って言い添えた。――「一時過ぎ【に】お見えになりますって」␣「そうね、そう申…	noise	
L027	feature	pos3 whole_region =>sudachi-a+sudachi-c ; 一般=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	66014	9493	9308	…な日かげも射して、まことに気まぐれな空ら【合い】。あわあわしい白ら雲が空ら一面に棚引くか…	…朗読する方が多かった。血潮は体内でたぎり【たち】、胸はうずき――いや思い出しても、むずむ…	…、ときには涙さえ流した。しかし、こうして【響き】高い詩句や、あるいは夕暮れの美しい眺めに…	noise	
L028	feature	pos1 surface:わりあい 副詞=>sudachi-a+sudachi-c ; 名詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	1	1	1	…いものを」␣「人類は、人類のこととなると【わりあい】によく知っていますが、その他のこと、たと…			expected-dictionary	
L029	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[三|獻] ; vibrato:unidic-novel-202512:[三獻]	2	1	1	…が、僕は酒の害といふものを覺えない。量は【三獻】でよし、一合でよし、半夜でよし、まれなら…	…料理をあさることもたのしい。舌洗ひならば【三獻】でも足るし、また、酒の害を考へたこともな…		expected-dictionary	
L030	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[つゝ|しめよ] ; vibrato:unidic-novel-202512:[つゝしめ|よ]	1	1	1	…刀にて介錯せられし也、寔に昔は因果の程を【つゝしめよ】、或其因果孫彦に報か、或子に報か、或其身…			expected-policy	
L031	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[わら|ッて] ; vibrato:unidic-novel-202512:[わらッ|て]	1	1	1	…たなや。秋の夜長に……こや忍藻」にっこり【わらッて】口のうち、「昨夜は太う軍のことに胸なやま…			expected-policy	
L032	feature	pos2 surface:\t =>sudachi-a+sudachi-c ; 空白=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	3250881	17810	17547	…けられない事はない。すなわち␣␣beat【␣】butu␣laugh␣walahu␣fl…	…なわち␣␣beat␣butu␣laugh【␣】walahu␣flat␣filattai…	…tu␣laugh␣walahu␣flat【␣】filattai␣hollow␣hola…	expected-policy	
L033	feature	pos1 whole_region 空白=>sudachi-a+sudachi-c ; 補助記号=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	3250920	17810	17547	…【␣】　このあいびきは先年仏蘭西で死去した、露…	…、これでも原文はきわめておもしろいです。【␣】　秋九月中旬というころ、一日自分がさる樺…	…つからみつして、目前に透かして見られた。【␣】　あるいはまたあたり一面にわかに薄暗くな…	expected-policy	
L034	feature	pos1 whole_region 名詞=>sudachi-a+sudachi-c ; 記号=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	65033	4122	4022	…を見て。「頼むぜ『アクーリナ』泣かれちゃ【ア】あやまる。おれはそれが大嫌いだ」。ト低い…	…ィクトル、アレクサンドルイチ』、忘れちゃ【ア】いやですよ」。ト少女は祈るがごとくに言ッ…	…』、わかりますワ、よく解りますワ」。␣「【ホ】、それはおえらいな！」␣「アクーリナ」は…	expected-policy	
L035	feature	pos1 surface:Fimbul 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512 ; 感動詞=>vibrato:unidic-novel-202512	1	1	1	…した。そのために恐ろしいフィムブルの冬（【Fimbul】-Winter）が襲来して、氷河と氷原が…			expected-dictionary	
L036	segmentation	vibrato:unidic-cwj-202512:[オール|ズ|モビール] ; sudachi-a+sudachi-c+vibrato:unidic-novel-202512:[オールズモビール]	1	1	1	…陽ざしを跳ね返して硬く輝いていた。自分の【オールズモビール】を視線で探していると、␣「出来たわよ」␣…			expected-dictionary	
L037	feature	pos4 whole_region =>sudachi-a+sudachi-c+vibrato:unidic-novel-202512 ; 一般=>vibrato:unidic-cwj-202512	99399	9126	8956	…部屋の中に残ったのは、主人と、セルゲイ・【ニコラーエヴィチ】と、ヴラジーミル・ペトローヴィチだけであ…	…ルゲイ・ニコラーエヴィチ」␣　セルゲイ・【ニコラーエヴィチ】というのは、まるまると肥った男で、ぽって…	…である。␣「やあ！」と、主人もセルゲイ・【ニコラーエヴィチ】も異口同音に。――「なおさら結構……話し…	expected-policy	
L038	segmentation	vibrato:unidic-cwj-202512:[見|よち|ふ] ; sudachi-a+sudachi-c:[見よ|ち|ふ] ; vibrato:unidic-novel-202512:[見よ|ちふ]	1	1	1	…る␣冬夜さりひとつ光れる手に載せて吹きて【見よちふ】吹けば飛ぶ貨鼠よあはれ␣鼠子は後も見ざら…			expected-policy	
L039	feature	pos4 surface:サビガリ =>sudachi-a+sudachi-c ; 一般=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	2	1	1	…つ、手紙でも書いて見よう。␣「おじさん。【サビガリ】さん。サビシガリさんでも無ければ、サムガ…	…んでも無ければ、サムガリさんでも無いの。【サビガリ】さんが、よく似合う。いつも、小説ばっかり…		expected-dictionary	
L040	feature	pos1 surface:Socrates 名詞=>sudachi-a+sudachi-c ; 感動詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	1	1	1	…セラピス（Serapis）␣ソクラテス（【Socrates】、470?-399 B.C.）␣ゾラ（m…			expected-dictionary	
L041	segmentation	vibrato:unidic-novel-202512:[推|さる] ; sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[推さ|る]	1	1	1	…ているのであります。␣　神奈川県で第一に【推さる】べきものは箱根の寄木細工であります。相模…			expected-policy	
L042	feature	pos1 whole_region 助動詞=>sudachi-a+sudachi-c ; 助詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	90003	11029	10815	…に、鮮かに見わたされた。雲は狂い廻わる風【に】吹き払われて形を潜め、空には繊雲一ツだも…	…していた。旁々の手を見れば、半はむきだし【で】、その上に載せた草花の束ねが呼吸をするた…	…の男のかおつきはまったくその一ツで、桃色【で】、清らかで、そしてきわめて傲慢そうで。己…	noise	
L043	segmentation	vibrato:unidic-novel-202512:[月|樵] ; sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[月樵]	1	1	1	…居る。かやうな処へ趣向を凝らすのは月樵の【月樵】たる所で、とても他人の思ひ及ぶ所ではない…			expected-dictionary	
L044	feature	pos3 whole_region 一般=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 人名=>sudachi-a+sudachi-c	76267	8673	8501	…く晴れわたッて風のすさまじく吹く日、あお【そら】を影にして立ちながら、ザワザワざわつき、…	…肩を軽く叩いた。「アクーリナ」はその手を【ソット】肩から外して、おずおず接吻した。「ちッと…	…ンス人で、自分がまるで「爆弾みたいに」（【コム】・ユヌ・ボンブ）ロシアへ落下したという考…	expected-dictionary	人名=>sudachi-a+sudachi-c is wrong
L045	feature	pos3 whole_region =>sudachi-a+sudachi-c+vibrato:unidic-novel-202512 ; 一般=>vibrato:unidic-cwj-202512	99022	10462	10253	…りに押し分けたような雲間から澄みて怜悧し【気】に見える人の眼のごとくに朗かに晴れた蒼空…	…、「泣くならおれはすぐ帰ろう……何だばか【気】た――泣く！」「アラ泣はしませんよ」、ト…	…すぐ帰ろう……何だばか気た――泣く！」「【アラ】泣はしませんよ」、トあわてて「アクーリナ…	noise	
L046	feature	pos1 surface:クサ 名詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 形容詞=>sudachi-a+sudachi-c	3	2	2	…の楽屋落ちも過ぎるし、何よりは自画自讃の【クサ】味に落ちるのをおそれて、ここへ持ち出すの…	…西の大榎の下では、“醜草市”とも、ただ“【クサ】市”ともよぶ泥棒市がときどき立つが、それ…	…夕迫るのも忘れて、呆うけ歩いていた。␣　【クサ】市には、きょうは、人影もない。␣　賽日と…	noise	
L047	feature	pos4 surface:小林 一般=>sudachi-a+sudachi-c ; 姓=>vibrato:unidic-novel-202512	1	1	1	…小林区署よりも同じく提出し、我福島県山口【小林区】署よりもまた提出せり。␣　新潟県南魚沼よ…			expected-dictionary	
L048	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[過ぎ|さつ] ; vibrato:unidic-novel-202512:[過ぎさつ]	2	1	1	…むかしの方へひつぱつてゆくその聲␣けれど【過ぎさつ】た日がどうなるものか␣何もかも明日のこと…	…はさつた␣あらし␣あらし␣あばれくるつて【過ぎさつ】た␣そしてそのあとに可愛いいあかんぼを殘…		expected-policy	
L049	feature	pos1 surface:かす 動詞=>sudachi-a+sudachi-c ; 形容詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	1	1	1	…やつとわたしには怠怠しい古い日記をひつぺ【かす】やうに過去の雲や霧の中に見えてきて、その…			unclear	
L050	feature	pos1 surface:キヤツキヤツ 副詞=>vibrato:unidic-novel-202512 ; 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	19	13	13	…、やかましいぞツ」␣　フイルムをみながら【キヤツキヤツ】笑つたり喋舌つたりする二三人連の女が二人…	…るやうなことを言つて聞かせ、廊下へ出ては【キヤツキヤツ】と笑ひ騒ぐ女中達に取繞かれながらも、夫人…	…などを集めて、トランプや花牌を合せては、【キヤツキヤツ】と面白さうに騒いだ。それから眠れない夜中…	expected-dictionary	
L051	segmentation	sudachi-a+sudachi-c+vibrato:unidic-novel-202512:[あつ|た] ; vibrato:unidic-cwj-202512:[あつた]	66586	4007	3978	…、日本人なら太陽と読めと云つたやうな説も【あつた】が、そんな無理な事は到底行はれん。そこで…	…ものもないから、一時は相応に研究する者も【あつた】、我国でも読売新聞が其文法を飜訳して附録…	…米で盛に研究されつゝある話を聴いたことが【あつた】が、当時は仔細あつて私の心は彼に在つて此…	expected-policy	
L052	feature	pos1 whole_region 名詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 接尾辞=>sudachi-a+sudachi-c	60207	9347	9159	…己があらけない貌だちに故意と人を軽ろしめ【世】に倦みはてた色を装おうとしていたものとみ…	…たたび隠袋に納めて、␣「それゃア当座四五【日】はちッとは淋しかろうサ」ト寛大の処置をも…	…れら人物の手中にあるというのである。『率【事】ながらわたしこと』と、書いてあった、――…	noise	
L053	segmentation	vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512:[G|l] ; sudachi-a+sudachi-c:[Gl]	1	1	1	…〃　）␣Semongkron（　〃　）␣【Gl】 Samalanga（スマトラ）␣Sam…			corpus-artifact	
L054	feature	pos2 surface:ツマンナイネ 一般=>vibrato:unidic-novel-202512 ; 普通名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	1	1	1	…ト　コハレテ　シマフノヨ。」␣「フーン、【ツマンナイネ】、ア、シロイ　ハツパガ　トンデ　ユク」␣…			expected-dictionary	
L055	segmentation	vibrato:unidic-novel-202512:[超|し] ; sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[超し]	1	1	1	…から見ると或る人士の崇拝する如き古今に絶【超し】た人ではなかつた。翁は常に技よりも想とい…			expected-policy	
L056	feature	pos3 surface:crops =>vibrato:unidic-novel-202512 ; 一般=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	3	2	2	… prediction of rice 【crops】.␣The recent compila…	…he land yeilds good 【crops】. この土地から好い作物が取れる。The…	…he seed yields good 【crops】. この種は石取りがある。The bon…	bug	
L057	segmentation	vibrato:unidic-novel-202512:[しゃ|ない] ; sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[しゃない]	1	1	1	…効くいうたことぐらいは、ちゃんと分りまっ【しゃない】か。なにが迷信や、阿呆らしい」␣　女はさ…			expected-policy	
L058	feature	pos2 surface:寄来 一般=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 普通名詞=>sudachi-a+sudachi-c	1	1	1	…はやくれぬ事かと思切ゐ申候処、去冬忽然と【寄来】候。作州より三十里川舟にて岡山へ参、夫よ…			expected-dictionary	
L059	feature	pos1 whole_region 動詞=>vibrato:unidic-novel-202512 ; 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	175561	12295	12070	…して耳を傾けていた。木の葉が頭上で幽かに【戦い】だが、その音を聞たばかりでも季節は知られ…	…帰ろう……何だばか気た――泣く！」「アラ【泣】はしませんよ」、トあわてて「アクーリナ」…	…た繰返して言ッて、得々と微笑して、「だが【已】を得ざる次第じゃないか？　マア積ッてもみ…	noise	
L060	feature	pos4 surface:ルカ 一般=>sudachi-a+sudachi-c ; 名=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	1	1	1	…考エルト、イッソ今直グヤリ直シテ貰ッテ伸【ルカ】反ルカヲ一挙ニ決シテシマイタクモアッタ。…			corpus-artifact	
L061	feature	pos1 surface:Territer 名詞=>sudachi-a+sudachi-c ; 感動詞=>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512	1	1	1	…n、コロン Colonges、テリテー 【Territer】、ヴェイトウ Veytaux の七つを合…			expected-dictionary	
L062	feature	pos4 whole_region =>vibrato:unidic-novel-202512 ; 姓=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	71604	7826	7657	…に一段高く聳えて、入り日をまともに受け、【根本】より木末に至るまでむらなく樺色に染まりな…	…の眼とジナイーダの眼がぶつかった。彼女は【伏】眼になって、顔を赤らめた。彼女が赤くなっ…	…並木通りを片っぱしから乗り尽して、処女が【原】もしばらく乗り回し、垣根も幾つか跳び越し…	noise	
L063	feature	pos2 surface:deuteroamino 一般=>vibrato:unidic-novel-202512 ; 普通名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	1	1	1	…ogical formation of 【deuteroamino】 acids. J. Biol. Che…			expected-dictionary	
L064	feature	pos2 surface:で =>vibrato:unidic-novel-202512 ; 格助詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	217994	13667	13442	…する、おもしろそうな、笑うようなさざめき【で】もなく、夏のゆるやかなそよぎでもなく、永…	…るやかなそよぎでもなく、永たらしい話し声【で】もなく、また末の秋のおどおどした、うそさ…	…ふしに人をさみした白頭翁の声のみが、故鈴【で】も鳴らすごとくに、響きわたッた。この樺の…	expected-policy	
L065	feature	pos3 surface:nepneushi =>vibrato:unidic-novel-202512 ; 一般=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	2	1	1	…uri  chikora kushu  【nepneushi】 ka␣chierampeutek  w…	… wa  chiash yakun,  【nepneushi】 ka␣chierampeutek  t…		corpus-artifact	
L066	segmentation	sudachi-a+vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512:[明石|城] ; sudachi-c:[明石城]	1	1	1	…討の大事を実行あそばさるるなら、東播磨の【明石城】、高砂城の梶原ごときは、毛利麾下といわれ…			expected-policy	
L067	segmentation	sudachi-a+sudachi-c+vibrato:unidic-cwj-202512:[良|者] ; vibrato:unidic-novel-202512:[良者]	1	1	1	…興りしといふ語にむけなば、こは數多くして【良者】稀なる王達にのみ關はるをみむ　一〇六―一…			unclear	
L068	feature	pos1 whole_region 副詞=>vibrato:unidic-novel-202512 ; 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512	60213	9469	9284	…きなおッた。何となく心おくれのした気色。【ヒタ】と視詰めた眼ざしにおどおどしたところもあ…	…、怪しと思う心にほだされて、その男の顔を【ツクヅク】眺めたが、あからさまにいえば、あまり気に…	…ら取りだして、眼へ宛がおうとしてみた、が【いくら】眉を皺め、頬を捻じ上げ、鼻まで仰お向かせ…	noise	
L069	feature	pos3 surface:アラビヤン 一般=>sudachi-a+sudachi-c+vibrato:unidic-novel-202512 ; 人名=>vibrato:unidic-cwj-202512	1	1	1	…urton）の訳した「一千一夜物語」――【アラビヤン】・ナイツは、今日まで出てゐる英訳中で先づ…			expected-dictionary	
L070	feature	pos2 whole_region =>vibrato:unidic-cwj-202512+vibrato:unidic-novel-202512 ; 格助詞=>sudachi-a+sudachi-c	108486	11628	11420	…るが、この男のかおつきはまったくその一ツ【で】、桃色で、清らかで、そしてきわめて傲慢そ…	…いたのだが――ただし父の面前でやったわけ【で】はない。母はひどく父をこわがっていたし、…	…老夫人に向って言い添えた。――「一時過ぎ【に】お見えになりますって」␣「そうね、そう申…	noise	
L071	feature	pos1 surface:living 名詞=>sudachi-a+sudachi-c+vibrato:unidic-cwj-202512 ; 感動詞=>vibrato:unidic-novel-202512	21	14	12	…。␣□生存 existence と生活 【living】 ――私のくらし。␣□日本人には何よりも…	…ave made and like a 【living】 grave,␣Below the su…	…ave made and like a 【living】 grave.␣　古き香とでも云うのかも…	bug	
